,Workload,Ranks,Stencil,Runtime
0,dgemm,512,0,411.483412796
1,dgemm,512,32768,413.122209104
2,dgemm,512,32768,395.87256850100005
3,dgemm,512,0,397.96558185999993
4,dgemm,512,32768,393.77302524199996
5,dgemm,512,0,394.7121171900001
6,dgemm,512,32768,410.112498673
7,dgemm,512,0,408.96062991900004
8,dgemm,512,32768,398.916815579
9,dgemm,512,0,397.626392023
10,dgemm,512,32768,400.53013493599997
11,dgemm,512,0,400.5794445700001
12,dgemm,512,32768,419.46253200900003
13,dgemm,512,0,400.068031116
14,dgemm,512,32768,382.61996254499996
15,dgemm,512,0,394.43195207499997
16,dgemm,512,32768,422.37726270999997
17,dgemm,512,0,401.53629520699997
18,dgemm,512,32768,381.99451792400004
19,dgemm,512,0,383.496850302
20,dgemm,512,32768,404.79503274
21,dgemm,512,0,404.118475321
22,dgemm,512,32768,382.931114169
23,dgemm,512,0,381.803228581
24,dgemm,512,32768,383.694937217
25,dgemm,512,0,381.33341233500005
26,dgemm,512,32768,414.79941605299996
27,dgemm,512,0,415.679475153
28,dgemm,512,32768,416.81079206
29,dgemm,512,0,416.97493134599995
30,dgemm,512,32768,402.04475934500005
31,dgemm,512,0,400.723798038
32,dgemm,512,32768,414.705699255
33,dgemm,512,0,416.814890002
34,dgemm,512,32768,403.2067370600001
35,dgemm,512,0,402.54863304400004
36,dgemm,512,32768,394.603032144
37,dgemm,512,0,396.976358877
38,dgemm,512,32768,380.985755978
39,dgemm,512,0,381.26567524
40,dgemm,1024,32768,382.95904395499997
41,dgemm,1024,0,393.084675034
42,dgemm,1024,0,380.72106309599997
43,dgemm,1024,32768,380.651731
44,dgemm,1024,32768,397.471104784
45,dgemm,1024,0,396.541861416
46,dgemm,1024,32768,396.25137143800004
47,dgemm,1024,0,395.919936266
48,dgemm,1024,32768,381.05214160800006
49,dgemm,1024,0,381.3115128790001
50,dgemm,1024,0,403.05559429799996
51,dgemm,1024,32768,402.36336775
52,dgemm,1024,32768,394.194550541
53,dgemm,1024,0,393.72718260000005
54,dgemm,1024,32768,381.069421806
55,dgemm,1024,0,380.478101787
56,dgemm,1024,32768,380.355021514
57,dgemm,1024,0,380.358208143
58,dgemm,1024,0,400.033232458
59,dgemm,1024,32768,399.55083655399994
60,dgemm,2048,0,409.367106871
61,dgemm,2048,32768,408.296520669
62,dgemm,2048,0,418.821200528
63,dgemm,2048,32768,420.243870513
64,dgemm,2048,32768,403.090626844
65,dgemm,2048,0,402.946706801
66,sleep,512,32768,65.260006621
67,sleep,512,0,65.136632471
68,sleep,512,0,65.137615258
69,sleep,512,32768,65.27854859
70,sleep,512,32768,65.287535103
71,sleep,512,0,65.137273905
72,sleep,512,32768,65.238113414
73,sleep,512,0,65.149706158
74,sleep,512,32768,65.29152108699999
75,sleep,512,0,65.13887416499999
76,sleep,512,32768,65.217858777
77,sleep,512,0,65.13832768500001
78,sleep,512,0,65.13467907500001
79,sleep,512,32768,65.238706505
80,sleep,512,32768,65.234012467
81,sleep,512,0,65.13606600499999
82,sleep,512,32768,65.30945821
83,sleep,512,0,65.133835031
84,sleep,512,0,65.13663206
85,sleep,512,32768,65.218168854
86,sleep,1024,0,66.27091695400001
87,sleep,1024,32768,66.436906382
88,sleep,1024,32768,66.40315603100001
89,sleep,1024,0,66.277153706
90,sleep,1024,32768,66.46289449999999
91,sleep,1024,0,66.284409
92,sleep,1024,32768,66.433536957
93,sleep,1024,0,66.26705481399999
94,sleep,1024,32768,66.410044661
95,sleep,1024,0,66.277005404
96,sleep,2048,0,67.34767953999999
97,sleep,2048,32768,67.647462987
98,sleep,2048,32768,67.520182678
99,sleep,2048,0,67.27087302000001
100,sleep,2048,32768,67.36115447600001
101,sleep,2048,0,67.263877711
102,fwq,512,32768,64.546482336
103,fwq,512,0,64.496381356
104,fwq,512,0,64.220116985
105,fwq,512,32768,64.32606438799999
106,fwq,512,32768,64.496972012
107,fwq,512,0,64.391575262
108,fwq,512,32768,64.647891369
109,fwq,512,0,64.506690718
110,fwq,512,32768,64.280725268
111,fwq,512,0,64.375117719
112,fwq,512,32768,64.42578067000001
113,fwq,512,0,64.360261566
114,fwq,512,32768,64.386270903
115,fwq,512,0,64.37189757700001
116,fwq,512,0,64.432615822
117,fwq,512,32768,64.54782029500001
118,fwq,512,32768,64.585998656
119,fwq,512,0,64.25307771099999
120,fwq,512,0,64.31236294200001
121,fwq,512,32768,64.446335983
122,fwq,512,32768,64.331558765
123,fwq,512,0,64.324032949
124,fwq,512,32768,64.272408083
125,fwq,512,0,64.45000943
126,fwq,512,0,64.369771341
127,fwq,512,32768,64.371761223
128,fwq,512,32768,64.29017452100001
129,fwq,512,0,64.125383911
130,fwq,512,32768,64.371920863
131,fwq,512,0,64.478488096
132,fwq,512,0,64.282652794
133,fwq,512,32768,64.546740536
134,fwq,512,32768,64.389170546
135,fwq,512,0,64.229176796
136,fwq,512,32768,64.63372956
137,fwq,512,0,64.237059773
138,fwq,512,32768,64.340559063
139,fwq,512,0,64.28597902
140,fwq,512,32768,64.38885575299999
141,fwq,512,0,64.424860496
142,fwq,1024,32768,65.538288299
143,fwq,1024,0,65.413052158
144,fwq,1024,32768,65.422380596
145,fwq,1024,0,65.337263235
146,fwq,1024,32768,65.413143564
